TIME,CH1
-1.000e-05,0.164
-9.998e-06,0.1584
-9.996e-06,0.148
-9.994e-06,0.1408
-9.992e-06,0.1496
-9.990e-06,0.16
-9.988e-06,0.1616
-9.986e-06,0.1504
-9.984e-06,0.1424
-9.982e-06,0.1456
-9.980e-06,0.1576
-9.978e-06,0.1624
-9.976e-06,0.1552
-9.974e-06,0.1456
-9.972e-06,0.144
-9.970e-06,0.1512
-9.968e-06,0.1592
-9.966e-06,0.1584
-9.964e-06,0.1504
-9.962e-06,0.144
-9.960e-06,0.1464
-9.958e-06,0.1576
-9.956e-06,0.1608
-9.954e-06,0.1536
-9.952e-06,0.1432
-9.950e-06,0.1424
-9.948e-06,0.1528
-9.946e-06,0.1608
-9.944e-06,0.1584
-9.942e-06,0.1464
-9.940e-06,0.1416
-9.938e-06,0.1496
-9.936e-06,0.1592
-9.934e-06,0.1616
-9.932e-06,0.1504
-9.930e-06,0.1416
-9.928e-06,0.1456
-9.926e-06,0.1576
-9.924e-06,0.1616
-9.922e-06,0.1528
-9.920e-06,0.14
-9.918e-06,0.1432
-9.916e-06,0.1536
-9.914e-06,0.1624
-9.912e-06,0.1552
-9.910e-06,0.1448
-9.908e-06,0.1424
-9.906e-06,0.1512
-9.904e-06,0.1576
-9.902e-06,0.1568
-9.900e-06,0.1488
-9.898e-06,0.1456
-9.896e-06,0.1496
-9.894e-06,0.156
-9.892e-06,0.1576
-9.890e-06,0.152
-9.888e-06,0.1464
-9.886e-06,0.148
-9.884e-06,0.1536
-9.882e-06,0.1552
-9.880e-06,0.1552
-9.878e-06,0.1496
-9.876e-06,0.148
-9.874e-06,0.1504
-9.872e-06,0.1568
-9.870e-06,0.156
-9.868e-06,0.1504
-9.866e-06,0.1464
-9.864e-06,0.1472
-9.862e-06,0.156
-9.860e-06,0.156
-9.858e-06,0.152
-9.856e-06,0.1448
-9.854e-06,0.1472
-9.852e-06,0.1536
-9.850e-06,0.1576
-9.848e-06,0.1512
-9.846e-06,0.1448
