TIME,CH1
-5.0000e-03,0.124
-4.9990e-03,0.12
-4.9980e-03,0.12
-4.9970e-03,0.116
-4.9960e-03,0.116
-4.9950e-03,0.114
-4.9940e-03,0.12
-4.9930e-03,0.12
-4.9920e-03,0.118
-4.9910e-03,0.118
-4.9900e-03,0.12
-4.9890e-03,0.12
-4.9880e-03,0.116
-4.9870e-03,0.118
-4.9860e-03,0.114
-4.9850e-03,0.116
-4.9840e-03,0.116
-4.9830e-03,0.118
-4.9820e-03,0.118
-4.9810e-03,0.12
-4.9800e-03,0.118
-4.9790e-03,0.12
-4.9780e-03,0.122
-4.9770e-03,0.12
-4.9760e-03,0.122
-4.9750e-03,0.12
-4.9740e-03,0.126
-4.9730e-03,0.126
-4.9720e-03,0.126
-4.9710e-03,0.12
-4.9700e-03,0.116
-4.9690e-03,0.12
-4.9680e-03,0.122
-4.9670e-03,0.122
-4.9660e-03,0.122
-4.9650e-03,0.122
-4.9640e-03,0.118
-4.9630e-03,0.118
-4.9620e-03,0.12
-4.9610e-03,0.116
-4.9600e-03,0.114
-4.9590e-03,0.12
-4.9580e-03,0.116
-4.9570e-03,0.12
-4.9560e-03,0.118
-4.9550e-03,0.12
-4.9540e-03,0.12
-4.9530e-03,0.116
-4.9520e-03,0.114
-4.9510e-03,0.11
-4.9500e-03,0.114
-4.9490e-03,0.11
-4.9480e-03,0.11
-4.9470e-03,0.11
-4.9460e-03,0.114
-4.9450e-03,0.114
-4.9440e-03,0.108
-4.9430e-03,0.11
-4.9420e-03,0.108
-4.9410e-03,0.106
-4.9400e-03,0.1
-4.9390e-03,0.102
-4.9380e-03,0.106
-4.9370e-03,0.108
-4.9360e-03,0.106
-4.9350e-03,0.11
-4.9340e-03,0.114
-4.9330e-03,0.11
-4.9320e-03,0.106
-4.9310e-03,0.102
-4.9300e-03,0.096
-4.9290e-03,0.1
-4.9280e-03,0.1
-4.9270e-03,0.106
-4.9260e-03,0.102
-4.9250e-03,0.104
-4.9240e-03,0.108
-4.9230e-03,0.108
-4.9220e-03,0.108
-4.9210e-03,0.106
-4.9200e-03,0.106
-4.9190e-03,0.106
-4.9180e-03,0.108
-4.9170e-03,0.11
-4.9160e-03,0.112
-4.9150e-03,0.112
-4.9140e-03,0.108
-4.9130e-03,0.106
-4.9120e-03,0.106
-4.9110e-03,0.102
-4.9100e-03,0.102
-4.9090e-03,0.106
-4.9080e-03,0.102
-4.9070e-03,0.106
-4.9060e-03,0.104
-4.9050e-03,0.106
-4.9040e-03,0.106
-4.9030e-03,0.102
-4.9020e-03,0.108
-4.9010e-03,0.1
-4.9000e-03,0.096
-4.8990e-03,0.096
-4.8980e-03,0.098
-4.8970e-03,0.098
-4.8960e-03,0.102
-4.8950e-03,0.1
-4.8940e-03,0.102
-4.8930e-03,0.102
-4.8920e-03,0.098
-4.8910e-03,0.1
-4.8900e-03,0.096
-4.8890e-03,0.09
-4.8880e-03,0.092
-4.8870e-03,0.094
-4.8860e-03,0.098
-4.8850e-03,0.1
-4.8840e-03,0.1
-4.8830e-03,0.096
-4.8820e-03,0.1
-4.8810e-03,0.094
-4.8800e-03,0.094
-4.8790e-03,0.094
-4.8780e-03,0.1
-4.8770e-03,0.098
-4.8760e-03,0.1
-4.8750e-03,0.098
-4.8740e-03,0.096
-4.8730e-03,0.094
-4.8720e-03,0.094
-4.8710e-03,0.092
-4.8700e-03,0.094
-4.8690e-03,0.094
-4.8680e-03,0.098
-4.8670e-03,0.1
-4.8660e-03,0.1
-4.8650e-03,0.1
-4.8640e-03,0.096
-4.8630e-03,0.094
-4.8620e-03,0.1
-4.8610e-03,0.09
-4.8600e-03,0.092
-4.8590e-03,0.096
-4.8580e-03,0.096
-4.8570e-03,0.094
-4.8560e-03,0.094
-4.8550e-03,0.092
-4.8540e-03,0.094
-4.8530e-03,0.086
-4.8520e-03,0.088
-4.8510e-03,0.088
-4.8500e-03,0.088
-4.8490e-03,0.09
-4.8480e-03,0.09
-4.8470e-03,0.094
-4.8460e-03,0.09
-4.8450e-03,0.092
-4.8440e-03,0.086
-4.8430e-03,0.09
-4.8420e-03,0.09
-4.8410e-03,0.086
-4.8400e-03,0.092
-4.8390e-03,0.092
-4.8380e-03,0.092
-4.8370e-03,0.098
-4.8360e-03,0.104
-4.8350e-03,0.102
-4.8340e-03,0.104
-4.8330e-03,0.106
-4.8320e-03,0.104
-4.8310e-03,0.102
-4.8300e-03,0.102
-4.8290e-03,0.104
-4.8280e-03,0.104
-4.8270e-03,0.1
-4.8260e-03,0.106
-4.8250e-03,0.104
-4.8240e-03,0.108
-4.8230e-03,0.104
-4.8220e-03,0.1
-4.8210e-03,0.1
-4.8200e-03,0.1
-4.8190e-03,0.1
-4.8180e-03,0.1
-4.8170e-03,0.1
-4.8160e-03,0.104
-4.8150e-03,0.1
-4.8140e-03,0.102
-4.8130e-03,0.1
-4.8120e-03,0.098
-4.8110e-03,0.1
-4.8100e-03,0.102
-4.8090e-03,0.102
-4.8080e-03,0.102
-4.8070e-03,0.102
-4.8060e-03,0.104
-4.8050e-03,0.102
-4.8040e-03,0.096
-4.8030e-03,0.098
-4.8020e-03,0.082
-4.8010e-03,0.094
-4.8000e-03,0.092
-4.7990e-03,0.09
-4.7980e-03,0.1
-4.7970e-03,0.102
-4.7960e-03,0.102
-4.7950e-03,0.104
-4.7940e-03,0.1
-4.7930e-03,0.092
