<<< Spectrum Data for LSA Series Signal Analyzer >>>
                  (c) Copyright 2008, Aeroflex.Ltd 2.002
*** Spectrum Infomation ***
Center,500000000,Hz
Span,1000000000,Hz
RBW,5000000,Hz
VBW,3000000,Hz
Sweep,10000,msec
*** Spectrum Trace ***
Num,TraceA(Hz),TraceA(dBm),TraceB(Hz),TraceB(dBm),TraceC(Hz),TraceC(dBm)
0001,0,-14.75,0,0.00,0,0.00
0002,1818182,-14.75,0,0.00,0,0.00
0003,3636364,-14.42,0,0.00,0,0.00
0004,5454545,-28.51,0,0.00,0,0.00
0005,7272727,-16.10,0,0.00,0,0.00
0006,9090909,-45.41,0,0.00,0,0.00
0007,10909091,-54.24,0,0.00,0,0.00
0008,12727273,-85.40,0,0.00,0,0.00
0009,14545455,-63.77,0,0.00,0,0.00
0010,16363636,-86.46,0,0.00,0,0.00
0011,18181818,-70.58,0,0.00,0,0.00
0012,20000000,-89.29,0,0.00,0,0.00
0013,21818182,-69.72,0,0.00,0,0.00
0014,23636364,-90.50,0,0.00,0,0.00
0015,25454545,-71.11,0,0.00,0,0.00
0016,27272727,-88.70,0,0.00,0,0.00
0017,29090909,-71.02,0,0.00,0,0.00
0018,30909091,-94.95,0,0.00,0,0.00
0019,32727273,-71.82,0,0.00,0,0.00
0020,34545455,-88.45,0,0.00,0,0.00
0021,36363636,-71.28,0,0.00,0,0.00
0022,38181818,-90.56,0,0.00,0,0.00
0023,40000000,-70.77,0,0.00,0,0.00
0024,41818182,-88.06,0,0.00,0,0.00
0025,43636364,-71.45,0,0.00,0,0.00
0026,45454545,-89.33,0,0.00,0,0.00
0027,47272727,-70.48,0,0.00,0,0.00
0028,49090909,-91.62,0,0.00,0,0.00
0029,50909091,-71.20,0,0.00,0,0.00
0030,52727273,-88.58,0,0.00,0,0.00
0031,54545455,-71.49,0,0.00,0,0.00
0032,56363636,-90.12,0,0.00,0,0.00
0033,58181818,-71.44,0,0.00,0,0.00
0034,60000000,-87.45,0,0.00,0,0.00
0035,61818182,-69.53,0,0.00,0,0.00
0036,63636364,-88.67,0,0.00,0,0.00
0037,65454545,-69.67,0,0.00,0,0.00
0038,67272727,-87.66,0,0.00,0,0.00
0039,69090909,-70.58,0,0.00,0,0.00
0040,70909091,-91.53,0,0.00,0,0.00
0041,72727273,-71.30,0,0.00,0,0.00
0042,74545455,-92.83,0,0.00,0,0.00
0043,76363636,-70.89,0,0.00,0,0.00
0044,78181818,-93.49,0,0.00,0,0.00
0045,80000000,-71.71,0,0.00,0,0.00
0046,81818182,-90.60,0,0.00,0,0.00
0047,83636364,-70.63,0,0.00,0,0.00
0048,85454545,-87.56,0,0.00,0,0.00
0049,87272727,-68.21,0,0.00,0,0.00
0050,89090909,-90.79,0,0.00,0,0.00
0051,90909091,-70.45,0,0.00,0,0.00
0052,92727273,-88.81,0,0.00,0,0.00
0053,94545455,-70.63,0,0.00,0,0.00
0054,96363636,-91.85,0,0.00,0,0.00
0055,98181818,-70.57,0,0.00,0,0.00
0056,100000000,-90.49,0,0.00,0,0.00
0057,101818182,-70.60,0,0.00,0,0.00
0058,103636364,-92.50,0,0.00,0,0.00
0059,105454545,-68.27,0,0.00,0,0.00
0060,107272727,-93.57,0,0.00,0,0.00
0061,109090909,-70.19,0,0.00,0,0.00
0062,110909091,-90.22,0,0.00,0,0.00
0063,112727273,-70.06,0,0.00,0,0.00
0064,114545455,-88.74,0,0.00,0,0.00
0065,116363636,-70.26,0,0.00,0,0.00
0066,118181818,-94.99,0,0.00,0,0.00
0067,120000000,-69.71,0,0.00,0,0.00
0068,121818182,-89.26,0,0.00,0,0.00
0069,123636364,-70.95,0,0.00,0,0.00
0070,125454545,-90.11,0,0.00,0,0.00
0071,127272727,-71.00,0,0.00,0,0.00
0072,129090909,-95.51,0,0.00,0,0.00
0073,130909091,-68.65,0,0.00,0,0.00
0074,132727273,-89.13,0,0.00,0,0.00
0075,134545455,-69.30,0,0.00,0,0.00
0076,136363636,-90.54,0,0.00,0,0.00
0077,138181818,-72.18,0,0.00,0,0.00
0078,140000000,-92.28,0,0.00,0,0.00
0079,141818182,-69.52,0,0.00,0,0.00
0080,143636364,-94.21,0,0.00,0,0.00
0081,145454545,-71.21,0,0.00,0,0.00
0082,147272727,-91.19,0,0.00,0,0.00
0083,149090909,-69.87,0,0.00,0,0.00
0084,150909091,-88.10,0,0.00,0,0.00
0085,152727273,-71.60,0,0.00,0,0.00
0086,154545455,-91.18,0,0.00,0,0.00
0087,156363636,-71.15,0,0.00,0,0.00
0088,158181818,-87.71,0,0.00,0,0.00
0089,160000000,-71.10,0,0.00,0,0.00
0090,161818182,-92.57,0,0.00,0,0.00
0091,163636364,-71.05,0,0.00,0,0.00
0092,165454545,-93.44,0,0.00,0,0.00
0093,167272727,-69.87,0,0.00,0,0.00
0094,169090909,-88.85,0,0.00,0,0.00
0095,170909091,-69.74,0,0.00,0,0.00
0096,172727273,-87.29,0,0.00,0,0.00
