<<< Spectrum Data for LSA Series Signal Analyzer >>>
                  (c) Copyright 2008, Aeroflex.Ltd 2.002
*** Spectrum Infomation ***
Center,1500000000,Hz
Span,3000000000,Hz
RBW,5000000,Hz
VBW,3000000,Hz
Sweep,20000,msec
*** Spectrum Trace ***
Num,TraceA(Hz),TraceA(dBm),TraceB(Hz),TraceB(dBm),TraceC(Hz),TraceC(dBm)
0001,0,-13.81,0,0.00,0,0.00
0002,15075377,-93.10,0,0.00,0,0.00
0003,30150754,-64.19,0,0.00,0,0.00
0004,45226131,-90.88,0,0.00,0,0.00
0005,60301508,-61.37,0,0.00,0,0.00
0006,75376884,-94.15,0,0.00,0,0.00
0007,90452261,-58.95,0,0.00,0,0.00
0008,105527638,-89.37,0,0.00,0,0.00
0009,120603015,-57.96,0,0.00,0,0.00
0010,135678392,-90.68,0,0.00,0,0.00
0011,150753769,-68.78,0,0.00,0,0.00
0012,165829146,-92.48,0,0.00,0,0.00
0013,180904523,-68.53,0,0.00,0,0.00
0014,195979899,-89.39,0,0.00,0,0.00
0015,211055276,-67.51,0,0.00,0,0.00
0016,226130653,-92.27,0,0.00,0,0.00
0017,241206030,-69.22,0,0.00,0,0.00
0018,256281407,-91.46,0,0.00,0,0.00
0019,271356784,-69.59,0,0.00,0,0.00
0020,286432161,-96.00,0,0.00,0,0.00
0021,301507538,-68.96,0,0.00,0,0.00
0022,316582915,-93.21,0,0.00,0,0.00
0023,331658291,-67.81,0,0.00,0,0.00
0024,346733668,-90.37,0,0.00,0,0.00
0025,361809045,-67.96,0,0.00,0,0.00
0026,376884422,-89.06,0,0.00,0,0.00
0027,391959799,-68.12,0,0.00,0,0.00
0028,407035176,-92.08,0,0.00,0,0.00
0029,422110553,-68.96,0,0.00,0,0.00
0030,437185930,-90.65,0,0.00,0,0.00
0031,452261307,-68.67,0,0.00,0,0.00
0032,467336683,-89.96,0,0.00,0,0.00
0033,482412060,-59.94,0,0.00,0,0.00
0034,497487437,-87.38,0,0.00,0,0.00
0035,512562814,-63.18,0,0.00,0,0.00
0036,527638191,-90.78,0,0.00,0,0.00
0037,542713568,-68.46,0,0.00,0,0.00
0038,557788945,-90.79,0,0.00,0,0.00
0039,572864322,-67.24,0,0.00,0,0.00
0040,587939698,-89.19,0,0.00,0,0.00
0041,603015075,-67.80,0,0.00,0,0.00
0042,618090452,-91.07,0,0.00,0,0.00
0043,633165829,-68.47,0,0.00,0,0.00
0044,648241206,-93.15,0,0.00,0,0.00
0045,663316583,-67.42,0,0.00,0,0.00
0046,678391960,-90.83,0,0.00,0,0.00
0047,693467337,-67.64,0,0.00,0,0.00
0048,708542714,-92.05,0,0.00,0,0.00
0049,723618090,-68.29,0,0.00,0,0.00
0050,738693467,-93.31,0,0.00,0,0.00
0051,753768844,-66.89,0,0.00,0,0.00
0052,768844221,-89.83,0,0.00,0,0.00
