<<< Spectrum Data for LSA Series Signal Analyzer >>>
                  (c) Copyright 2008, Aeroflex.Ltd 2.002
*** Spectrum Infomation ***
Center,1500000000,Hz
Span,3000000000,Hz
RBW,5000000,Hz
VBW,3000000,Hz
Sweep,20000,msec
*** Spectrum Trace ***
Num,TraceA(Hz),TraceA(dBm),TraceB(Hz),TraceB(dBm),TraceC(Hz),TraceC(dBm)
0001,0,-13.79,0,0.00,0,0.00
0002,15075377,-86.62,0,0.00,0,0.00
0003,30150754,-33.15,0,0.00,0,0.00
0004,45226131,-91.61,0,0.00,0,0.00
0005,60301508,-38.08,0,0.00,0,0.00
0006,75376884,-89.84,0,0.00,0,0.00
0007,90452261,-51.54,0,0.00,0,0.00
0008,105527638,-88.36,0,0.00,0,0.00
0009,120603015,-50.53,0,0.00,0,0.00
0010,135678392,-90.71,0,0.00,0,0.00
0011,150753769,-65.43,0,0.00,0,0.00
0012,165829146,-91.78,0,0.00,0,0.00
0013,180904523,-66.08,0,0.00,0,0.00
0014,195979899,-91.92,0,0.00,0,0.00
0015,211055276,-68.73,0,0.00,0,0.00
0016,226130653,-93.77,0,0.00,0,0.00
0017,241206030,-69.76,0,0.00,0,0.00
0018,256281407,-92.23,0,0.00,0,0.00
0019,271356784,-69.95,0,0.00,0,0.00
0020,286432161,-91.62,0,0.00,0,0.00
0021,301507538,-68.13,0,0.00,0,0.00
0022,316582915,-93.90,0,0.00,0,0.00
0023,331658291,-69.11,0,0.00,0,0.00
0024,346733668,-92.05,0,0.00,0,0.00
0025,361809045,-69.21,0,0.00,0,0.00
0026,376884422,-90.68,0,0.00,0,0.00
0027,391959799,-68.13,0,0.00,0,0.00
0028,407035176,-90.00,0,0.00,0,0.00
0029,422110553,-68.95,0,0.00,0,0.00
0030,437185930,-88.57,0,0.00,0,0.00
0031,452261307,-67.50,0,0.00,0,0.00
0032,467336683,-89.61,0,0.00,0,0.00
0033,482412060,-63.79,0,0.00,0,0.00
0034,497487437,-93.48,0,0.00,0,0.00
0035,512562814,-64.09,0,0.00,0,0.00
0036,527638191,-90.81,0,0.00,0,0.00
0037,542713568,-68.70,0,0.00,0,0.00
0038,557788945,-92.54,0,0.00,0,0.00
0039,572864322,-68.92,0,0.00,0,0.00
0040,587939698,-90.46,0,0.00,0,0.00
0041,603015075,-68.82,0,0.00,0,0.00
0042,618090452,-88.46,0,0.00,0,0.00
0043,633165829,-67.59,0,0.00,0,0.00
0044,648241206,-88.91,0,0.00,0,0.00
0045,663316583,-68.17,0,0.00,0,0.00
0046,678391960,-91.50,0,0.00,0,0.00
0047,693467337,-66.73,0,0.00,0,0.00
0048,708542714,-90.73,0,0.00,0,0.00
0049,723618090,-67.68,0,0.00,0,0.00
0050,738693467,-93.90,0,0.00,0,0.00
0051,753768844,-68.13,0,0.00,0,0.00
0052,768844221,-92.59,0,0.00,0,0.00
0053,783919598,-67.13,0,0.00,0,0.00
0054,798994975,-95.43,0,0.00,0,0.00
0055,814070352,-68.73,0,0.00,0,0.00
0056,829145729,-89.31,0,0.00,0,0.00
0057,844221106,-67.97,0,0.00,0,0.00
0058,859296482,-89.90,0,0.00,0,0.00
0059,874371859,-55.50,0,0.00,0,0.00
0060,889447236,-83.75,0,0.00,0,0.00
0061,904522613,-53.54,0,0.00,0,0.00
0062,919597990,-88.54,0,0.00,0,0.00
0063,934673367,-68.46,0,0.00,0,0.00
0064,949748744,-96.67,0,0.00,0,0.00
