<<< Spectrum Data for LSA Series Signal Analyzer >>>
                  (c) Copyright 2008, Aeroflex.Ltd 2.002
*** Spectrum Infomation ***
Center,1500000000,Hz
Span,3000000000,Hz
RBW,5000000,Hz
VBW,3000000,Hz
Sweep,20000,msec
*** Spectrum Trace ***
Num,TraceA(Hz),TraceA(dBm),TraceB(Hz),TraceB(dBm),TraceC(Hz),TraceC(dBm)
0001,0,-13.76,0,0.00,0,0.00
0002,15075377,-83.64,0,0.00,0,0.00
0003,30150754,-35.60,0,0.00,0,0.00
0004,45226131,-90.66,0,0.00,0,0.00
0005,60301508,-61.09,0,0.00,0,0.00
0006,75376884,-92.87,0,0.00,0,0.00
0007,90452261,-42.10,0,0.00,0,0.00
0008,105527638,-89.10,0,0.00,0,0.00
0009,120603015,-51.11,0,0.00,0,0.00
0010,135678392,-92.16,0,0.00,0,0.00
0011,150753769,-68.34,0,0.00,0,0.00
0012,165829146,-91.25,0,0.00,0,0.00
0013,180904523,-67.78,0,0.00,0,0.00
0014,195979899,-92.17,0,0.00,0,0.00
0015,211055276,-68.53,0,0.00,0,0.00
0016,226130653,-94.29,0,0.00,0,0.00
0017,241206030,-69.34,0,0.00,0,0.00
0018,256281407,-91.95,0,0.00,0,0.00
0019,271356784,-68.51,0,0.00,0,0.00
0020,286432161,-89.54,0,0.00,0,0.00
0021,301507538,-68.22,0,0.00,0,0.00
0022,316582915,-92.07,0,0.00,0,0.00
0023,331658291,-68.79,0,0.00,0,0.00
0024,346733668,-93.07,0,0.00,0,0.00
0025,361809045,-68.09,0,0.00,0,0.00
0026,376884422,-92.96,0,0.00,0,0.00
0027,391959799,-67.61,0,0.00,0,0.00
0028,407035176,-92.47,0,0.00,0,0.00
0029,422110553,-68.18,0,0.00,0,0.00
0030,437185930,-90.55,0,0.00,0,0.00
0031,452261307,-67.82,0,0.00,0,0.00
0032,467336683,-88.81,0,0.00,0,0.00
0033,482412060,-53.67,0,0.00,0,0.00
0034,497487437,-91.85,0,0.00,0,0.00
0035,512562814,-56.51,0,0.00,0,0.00
0036,527638191,-91.26,0,0.00,0,0.00
0037,542713568,-63.16,0,0.00,0,0.00
0038,557788945,-90.78,0,0.00,0,0.00
0039,572864322,-59.43,0,0.00,0,0.00
0040,587939698,-92.45,0,0.00,0,0.00
0041,603015075,-67.79,0,0.00,0,0.00
0042,618090452,-88.68,0,0.00,0,0.00
0043,633165829,-68.11,0,0.00,0,0.00
0044,648241206,-90.66,0,0.00,0,0.00
0045,663316583,-68.92,0,0.00,0,0.00
0046,678391960,-91.01,0,0.00,0,0.00
0047,693467337,-66.94,0,0.00,0,0.00
0048,708542714,-89.35,0,0.00,0,0.00
0049,723618090,-68.34,0,0.00,0,0.00
0050,738693467,-90.09,0,0.00,0,0.00
0051,753768844,-66.45,0,0.00,0,0.00
0052,768844221,-90.10,0,0.00,0,0.00
0053,783919598,-66.35,0,0.00,0,0.00
0054,798994975,-89.06,0,0.00,0,0.00
0055,814070352,-66.32,0,0.00,0,0.00
0056,829145729,-90.24,0,0.00,0,0.00
0057,844221106,-67.11,0,0.00,0,0.00
0058,859296482,-89.62,0,0.00,0,0.00
0059,874371859,-58.48,0,0.00,0,0.00
0060,889447236,-85.48,0,0.00,0,0.00
0061,904522613,-60.58,0,0.00,0,0.00
0062,919597990,-91.08,0,0.00,0,0.00
0063,934673367,-68.93,0,0.00,0,0.00
0064,949748744,-92.49,0,0.00,0,0.00
0065,964824121,-68.76,0,0.00,0,0.00
0066,979899497,-89.75,0,0.00,0,0.00
0067,994974874,-68.81,0,0.00,0,0.00
0068,1010050251,-91.19,0,0.00,0,0.00
0069,1025125628,-67.27,0,0.00,0,0.00
0070,1040201005,-93.11,0,0.00,0,0.00
0071,1055276382,-67.26,0,0.00,0,0.00
0072,1070351759,-90.12,0,0.00,0,0.00
0073,1085427136,-68.44,0,0.00,0,0.00
0074,1100502513,-90.13,0,0.00,0,0.00
0075,1115577889,-68.28,0,0.00,0,0.00
0076,1130653266,-90.04,0,0.00,0,0.00
0077,1145728643,-66.89,0,0.00,0,0.00
0078,1160804020,-92.86,0,0.00,0,0.00
0079,1175879397,-67.88,0,0.00,0,0.00
0080,1190954774,-90.46,0,0.00,0,0.00
