<<< Spectrum Data for LSA Series Signal Analyzer >>>
                  (c) Copyright 2008, Aeroflex.Ltd 2.002
*** Spectrum Infomation ***
Center,488973256,Hz
Span,19245283,Hz
RBW,200000,Hz
VBW,200000,Hz
Sweep,10000,msec
*** Spectrum Trace ***
Num,TraceA(Hz),TraceA(dBm),TraceB(Hz),TraceB(dBm),TraceC(Hz),TraceC(dBm)
0001,479350615,-86.90,0,0.00,0,0.00
0002,479369899,-98.58,0,0.00,0,0.00
0003,479389183,-92.84,0,0.00,0,0.00
0004,479408466,-87.10,0,0.00,0,0.00
0005,479427750,-101.36,0,0.00,0,0.00
0006,479447034,-84.15,0,0.00,0,0.00
0007,479466318,-91.05,0,0.00,0,0.00
0008,479485602,-97.95,0,0.00,0,0.00
0009,479504886,-84.66,0,0.00,0,0.00
0010,479524169,-95.69,0,0.00,0,0.00
0011,479543453,-92.05,0,0.00,0,0.00
0012,479562737,-88.41,0,0.00,0,0.00
0013,479582021,-95.36,0,0.00,0,0.00
0014,479601305,-83.62,0,0.00,0,0.00
0015,479620589,-87.65,0,0.00,0,0.00
0016,479639873,-91.68,0,0.00,0,0.00
0017,479659156,-89.64,0,0.00,0,0.00
0018,479678440,-95.54,0,0.00,0,0.00
0019,479697724,-89.72,0,0.00,0,0.00
0020,479717008,-83.89,0,0.00,0,0.00
0021,479736292,-103.16,0,0.00,0,0.00
0022,479755576,-93.41,0,0.00,0,0.00
0023,479774860,-83.67,0,0.00,0,0.00
0024,479794143,-96.63,0,0.00,0,0.00
0025,479813427,-86.31,0,0.00,0,0.00
0026,479832711,-92.79,0,0.00,0,0.00
0027,479851995,-99.27,0,0.00,0,0.00
0028,479871279,-86.27,0,0.00,0,0.00
0029,479890563,-98.65,0,0.00,0,0.00
0030,479909846,-92.66,0,0.00,0,0.00
0031,479929130,-86.68,0,0.00,0,0.00
0032,479948414,-95.81,0,0.00,0,0.00
0033,479967698,-86.99,0,0.00,0,0.00
0034,479986982,-92.22,0,0.00,0,0.00
0035,480006266,-97.45,0,0.00,0,0.00
0036,480025550,-91.15,0,0.00,0,0.00
0037,480044833,-102.28,0,0.00,0,0.00
0038,480064117,-94.03,0,0.00,0,0.00
0039,480083401,-85.79,0,0.00,0,0.00
0040,480102685,-99.17,0,0.00,0,0.00
0041,480121969,-82.87,0,0.00,0,0.00
0042,480141253,-91.00,0,0.00,0,0.00
0043,480160537,-99.14,0,0.00,0,0.00
0044,480179820,-86.77,0,0.00,0,0.00
