<<< Spectrum Data for LSA Series Signal Analyzer >>>
                  (c) Copyright 2008, Aeroflex.Ltd 2.002
*** Spectrum Infomation ***
Center,488973256,Hz
Span,19245283,Hz
RBW,200000,Hz
VBW,200000,Hz
Sweep,10000,msec
*** Spectrum Trace ***
Num,TraceA(Hz),TraceA(dBm),TraceB(Hz),TraceB(dBm),TraceC(Hz),TraceC(dBm)
0001,479350615,-85.80,0,0.00,0,0.00
0002,479369899,-92.71,0,0.00,0,0.00
0003,479389183,-88.02,0,0.00,0,0.00
0004,479408466,-83.33,0,0.00,0,0.00
0005,479427750,-98.48,0,0.00,0,0.00
0006,479447034,-85.88,0,0.00,0,0.00
0007,479466318,-90.37,0,0.00,0,0.00
0008,479485602,-94.86,0,0.00,0,0.00
0009,479504886,-84.49,0,0.00,0,0.00
0010,479524169,-91.71,0,0.00,0,0.00
0011,479543453,-87.81,0,0.00,0,0.00
0012,479562737,-83.91,0,0.00,0,0.00
0013,479582021,-96.26,0,0.00,0,0.00
0014,479601305,-83.99,0,0.00,0,0.00
0015,479620589,-90.59,0,0.00,0,0.00
0016,479639873,-97.19,0,0.00,0,0.00
0017,479659156,-84.93,0,0.00,0,0.00
0018,479678440,-92.43,0,0.00,0,0.00
0019,479697724,-89.57,0,0.00,0,0.00
0020,479717008,-86.70,0,0.00,0,0.00
0021,479736292,-89.65,0,0.00,0,0.00
0022,479755576,-88.18,0,0.00,0,0.00
0023,479774860,-86.71,0,0.00,0,0.00
0024,479794143,-93.19,0,0.00,0,0.00
0025,479813427,-82.89,0,0.00,0,0.00
0026,479832711,-90.81,0,0.00,0,0.00
0027,479851995,-98.73,0,0.00,0,0.00
0028,479871279,-90.35,0,0.00,0,0.00
0029,479890563,-95.04,0,0.00,0,0.00
0030,479909846,-92.10,0,0.00,0,0.00
0031,479929130,-89.16,0,0.00,0,0.00
0032,479948414,-93.77,0,0.00,0,0.00
0033,479967698,-82.85,0,0.00,0,0.00
0034,479986982,-89.27,0,0.00,0,0.00
0035,480006266,-95.68,0,0.00,0,0.00
0036,480025550,-89.93,0,0.00,0,0.00
0037,480044833,-96.46,0,0.00,0,0.00
0038,480064117,-90.23,0,0.00,0,0.00
0039,480083401,-83.99,0,0.00,0,0.00
0040,480102685,-97.04,0,0.00,0,0.00
0041,480121969,-85.44,0,0.00,0,0.00
0042,480141253,-93.00,0,0.00,0,0.00
0043,480160537,-100.56,0,0.00,0,0.00
0044,480179820,-85.16,0,0.00,0,0.00
0045,480199104,-98.32,0,0.00,0,0.00
0046,480218388,-90.22,0,0.00,0,0.00
0047,480237672,-82.11,0,0.00,0,0.00
0048,480256956,-99.72,0,0.00,0,0.00
0049,480276240,-87.45,0,0.00,0,0.00
0050,480295523,-89.37,0,0.00,0,0.00
0051,480314807,-91.30,0,0.00,0,0.00
0052,480334091,-85.34,0,0.00,0,0.00
0053,480353375,-101.19,0,0.00,0,0.00
0054,480372659,-93.38,0,0.00,0,0.00
0055,480391943,-85.57,0,0.00,0,0.00
0056,480411227,-93.58,0,0.00,0,0.00
0057,480430510,-88.44,0,0.00,0,0.00
0058,480449794,-93.73,0,0.00,0,0.00
0059,480469078,-99.02,0,0.00,0,0.00
0060,480488362,-90.47,0,0.00,0,0.00
0061,480507646,-91.40,0,0.00,0,0.00
0062,480526930,-92.33,0,0.00,0,0.00
0063,480546214,-84.34,0,0.00,0,0.00
0064,480565497,-98.20,0,0.00,0,0.00
0065,480584781,-92.59,0,0.00,0,0.00
0066,480604065,-86.99,0,0.00,0,0.00
0067,480623349,-101.05,0,0.00,0,0.00
0068,480642633,-91.12,0,0.00,0,0.00
0069,480661917,-94.30,0,0.00,0,0.00
0070,480681201,-97.48,0,0.00,0,0.00
0071,480700484,-86.95,0,0.00,0,0.00
0072,480719768,-89.96,0,0.00,0,0.00
0073,480739052,-88.66,0,0.00,0,0.00
0074,480758336,-87.37,0,0.00,0,0.00
0075,480777620,-91.55,0,0.00,0,0.00
0076,480796904,-86.51,0,0.00,0,0.00
0077,480816187,-93.53,0,0.00,0,0.00
0078,480835471,-100.55,0,0.00,0,0.00
0079,480854755,-83.25,0,0.00,0,0.00
0080,480874039,-95.71,0,0.00,0,0.00
0081,480893323,-90.19,0,0.00,0,0.00
0082,480912607,-84.67,0,0.00,0,0.00
0083,480931891,-95.81,0,0.00,0,0.00
0084,480951174,-81.89,0,0.00,0,0.00
0085,480970458,-89.59,0,0.00,0,0.00
0086,480989742,-97.29,0,0.00,0,0.00
0087,481009026,-85.31,0,0.00,0,0.00
0088,481028310,-102.31,0,0.00,0,0.00
0089,481047594,-91.89,0,0.00,0,0.00
0090,481066878,-81.46,0,0.00,0,0.00
0091,481086161,-92.18,0,0.00,0,0.00
0092,481105445,-83.93,0,0.00,0,0.00
0093,481124729,-92.03,0,0.00,0,0.00
0094,481144013,-100.14,0,0.00,0,0.00
0095,481163297,-86.30,0,0.00,0,0.00
0096,481182581,-103.63,0,0.00,0,0.00
0097,481201864,-93.46,0,0.00,0,0.00
0098,481221148,-83.28,0,0.00,0,0.00
0099,481240432,-95.32,0,0.00,0,0.00
0100,481259716,-91.54,0,0.00,0,0.00
0101,481279000,-87.76,0,0.00,0,0.00
0102,481298284,-95.89,0,0.00,0,0.00
0103,481317568,-84.01,0,0.00,0,0.00
0104,481336851,-90.28,0,0.00,0,0.00
0105,481356135,-96.55,0,0.00,0,0.00
0106,481375419,-82.70,0,0.00,0,0.00
0107,481394703,-93.65,0,0.00,0,0.00
0108,481413987,-88.95,0,0.00,0,0.00
0109,481433271,-84.24,0,0.00,0,0.00
0110,481452555,-96.58,0,0.00,0,0.00
0111,481471838,-81.90,0,0.00,0,0.00
0112,481491122,-89.54,0,0.00,0,0.00
0113,481510406,-97.17,0,0.00,0,0.00
0114,481529690,-85.42,0,0.00,0,0.00
0115,481548974,-92.54,0,0.00,0,0.00
0116,481568258,-91.44,0,0.00,0,0.00
0117,481587541,-90.33,0,0.00,0,0.00
0118,481606825,-102.55,0,0.00,0,0.00
0119,481626109,-85.33,0,0.00,0,0.00
0120,481645393,-90.70,0,0.00,0,0.00
0121,481664677,-96.07,0,0.00,0,0.00
0122,481683961,-86.84,0,0.00,0,0.00
0123,481703245,-92.16,0,0.00,0,0.00
0124,481722528,-88.89,0,0.00,0,0.00
0125,481741812,-85.63,0,0.00,0,0.00
0126,481761096,-96.64,0,0.00,0,0.00
0127,481780380,-84.84,0,0.00,0,0.00
0128,481799664,-90.79,0,0.00,0,0.00
0129,481818948,-96.75,0,0.00,0,0.00
0130,481838232,-85.96,0,0.00,0,0.00
0131,481857515,-99.98,0,0.00,0,0.00
0132,481876799,-93.57,0,0.00,0,0.00
0133,481896083,-87.17,0,0.00,0,0.00
0134,481915367,-93.91,0,0.00,0,0.00
0135,481934651,-90.30,0,0.00,0,0.00
0136,481953935,-86.69,0,0.00,0,0.00
0137,481973219,-92.59,0,0.00,0,0.00
0138,481992502,-80.92,0,0.00,0,0.00
0139,482011786,-87.27,0,0.00,0,0.00
0140,482031070,-93.61,0,0.00,0,0.00
0141,482050354,-81.14,0,0.00,0,0.00
0142,482069638,-92.00,0,0.00,0,0.00
0143,482088922,-84.07,0,0.00,0,0.00
0144,482108205,-76.14,0,0.00,0,0.00
0145,482127489,-82.74,0,0.00,0,0.00
0146,482146773,-75.02,0,0.00,0,0.00
0147,482166057,-79.85,0,0.00,0,0.00
0148,482185341,-84.68,0,0.00,0,0.00
0149,482204625,-80.48,0,0.00,0,0.00
0150,482223909,-92.32,0,0.00,0,0.00
0151,482243192,-83.76,0,0.00,0,0.00
0152,482262476,-75.19,0,0.00,0,0.00
0153,482281760,-91.14,0,0.00,0,0.00
0154,482301044,-76.35,0,0.00,0,0.00
0155,482320328,-79.60,0,0.00,0,0.00
0156,482339612,-82.84,0,0.00,0,0.00
0157,482358896,-76.88,0,0.00,0,0.00
0158,482378179,-86.35,0,0.00,0,0.00
0159,482397463,-81.17,0,0.00,0,0.00
0160,482416747,-76.00,0,0.00,0,0.00
0161,482436031,-85.80,0,0.00,0,0.00
0162,482455315,-73.74,0,0.00,0,0.00
0163,482474599,-76.79,0,0.00,0,0.00
0164,482493882,-79.84,0,0.00,0,0.00
0165,482513166,-72.78,0,0.00,0,0.00
0166,482532450,-79.63,0,0.00,0,0.00
0167,482551734,-75.74,0,0.00,0,0.00
0168,482571018,-71.85,0,0.00,0,0.00
0169,482590302,-78.26,0,0.00,0,0.00
0170,482609586,-71.37,0,0.00,0,0.00
0171,482628869,-76.60,0,0.00,0,0.00
0172,482648153,-81.83,0,0.00,0,0.00
0173,482667437,-75.64,0,0.00,0,0.00
0174,482686721,-78.41,0,0.00,0,0.00
0175,482706005,-81.18,0,0.00,0,0.00
0176,482725289,-72.81,0,0.00,0,0.00
0177,482744573,-86.61,0,0.00,0,0.00
0178,482763856,-81.43,0,0.00,0,0.00
0179,482783140,-76.25,0,0.00,0,0.00
0180,482802424,-79.58,0,0.00,0,0.00
0181,482821708,-71.82,0,0.00,0,0.00
0182,482840992,-78.10,0,0.00,0,0.00
0183,482860276,-84.37,0,0.00,0,0.00
0184,482879559,-72.89,0,0.00,0,0.00
0185,482898843,-79.51,0,0.00,0,0.00
0186,482918127,-77.84,0,0.00,0,0.00
0187,482937411,-76.18,0,0.00,0,0.00
0188,482956695,-79.34,0,0.00,0,0.00
0189,482975979,-72.73,0,0.00,0,0.00
0190,482995263,-78.66,0,0.00,0,0.00
0191,483014546,-84.60,0,0.00,0,0.00
0192,483033830,-76.48,0,0.00,0,0.00
0193,483053114,-90.49,0,0.00,0,0.00
0194,483072398,-83.34,0,0.00,0,0.00
0195,483091682,-76.19,0,0.00,0,0.00
0196,483110966,-85.71,0,0.00,0,0.00
0197,483130250,-73.56,0,0.00,0,0.00
0198,483149533,-79.90,0,0.00,0,0.00
0199,483168817,-86.24,0,0.00,0,0.00
0200,483188101,-71.12,0,0.00,0,0.00
0201,483207385,-86.77,0,0.00,0,0.00
0202,483226669,-81.01,0,0.00,0,0.00
0203,483245953,-75.24,0,0.00,0,0.00
0204,483265236,-81.57,0,0.00,0,0.00
0205,483284520,-74.82,0,0.00,0,0.00
0206,483303804,-80.22,0,0.00,0,0.00
0207,483323088,-85.63,0,0.00,0,0.00
0208,483342372,-76.61,0,0.00,0,0.00
0209,483361656,-86.98,0,0.00,0,0.00
0210,483380940,-79.48,0,0.00,0,0.00
0211,483400223,-71.97,0,0.00,0,0.00
0212,483419507,-83.03,0,0.00,0,0.00
0213,483438791,-81.18,0,0.00,0,0.00
0214,483458075,-79.32,0,0.00,0,0.00
0215,483477359,-80.84,0,0.00,0,0.00
0216,483496643,-76.38,0,0.00,0,0.00
0217,483515927,-82.27,0,0.00,0,0.00
0218,483535210,-88.15,0,0.00,0,0.00
0219,483554494,-75.67,0,0.00,0,0.00
0220,483573778,-83.42,0,0.00,0,0.00
0221,483593062,-78.39,0,0.00,0,0.00
0222,483612346,-73.37,0,0.00,0,0.00
0223,483631630,-78.94,0,0.00,0,0.00
0224,483650914,-71.48,0,0.00,0,0.00
0225,483670197,-75.68,0,0.00,0,0.00
0226,483689481,-79.88,0,0.00,0,0.00
0227,483708765,-75.41,0,0.00,0,0.00
0228,483728049,-89.15,0,0.00,0,0.00
0229,483747333,-83.53,0,0.00,0,0.00
0230,483766617,-77.91,0,0.00,0,0.00
0231,483785900,-83.80,0,0.00,0,0.00
0232,483805184,-72.74,0,0.00,0,0.00
0233,483824468,-77.80,0,0.00,0,0.00
0234,483843752,-82.86,0,0.00,0,0.00
0235,483863036,-73.07,0,0.00,0,0.00
0236,483882320,-84.89,0,0.00,0,0.00
0237,483901604,-77.35,0,0.00,0,0.00
0238,483920887,-69.81,0,0.00,0,0.00
